L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,1,0,0,0,3,3232270669,6,443,58133,2143,54,448,87,194.818181818182,0.650825938994806,-1.44336941371632,27066.3305785124,368,70.5,297.5,1769,20,414,53,160.818181818182,0.650825938994806,-1.44336941371632,27066.3305785124,334,36.5,297.5,1633440886.93191,0.0027999877929687,0.219320774078368
1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,1,0,0,0,3,3232270669,6,443,58133,2230,54,448,87,185.833333333333,0.787803534864299,-1.24237530962981,25698.8055555556,342.5,78.75,263.75,1822,20,414,53,151.833333333333,0.787803534864299,-1.24237530962981,25698.8055555556,308.5,44.75,263.75,1633440886.93433,0.0024240016937255,0.221744775772094
1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,1,0,0,0,3,3232270669,6,443,443,2317,54,448,87,178.230769230769,0.911895451249574,-1.0269758696535,24415.5621301775,317,87,230,1875,20,414,53,144.230769230769,0.911895451249574,-1.0269758696535,24415.5621301775,283,53,230,1633440886.95138,0.0170481204986572,0.238792896270751
1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,1,0,0,0,3,3232270669,6,443,58133,2371,54,448,87,169.357142857143,1.02124794869133,-0.808985710673769,23695.2295918367,260.25,62.25,198,1895,20,414,53,135.357142857143,1.02124794869133,-0.808985710673769,23695.2295918367,226.25,28.25,198,1633440886.98026,0.0288829803466796,0.267675876617431
0,1,0,0,1,2,104,3232270669,138,128,124,17,53,18638,2,0,0,0,3,3232270669,6,443,58133,2509,54,448,87,167.266666666667,1.09421412139122,-0.605029751268101,22176.7288888889,227.5,70.5,157,1999,20,414,53,133.266666666667,1.09421412139122,-0.605029751268101,22176.7288888889,193.5,36.5,157,1633440886.99158,0.0113189220428466,0.278994798660277
1,0,0,1,3,1,28,916759411,62,255,48,6,58155,443,2,0,0,0,4,3232270669,6,443,443,2571,54,448,87,160.6875,1.1908195052727,-0.379146888302455,21439.96484375,182.75,60,122.75,2027,20,414,53,126.6875,1.1908195052727,-0.379146888302455,21439.96484375,148.75,26,122.75,1633440886.99644,0.0048589706420898,0.283853769302367
1,0,0,1,1,3,28,3232270669,62,227,48,6,443,58155,2,0,0,0,4,3232270669,6,443,58133,2633,54,448,87,154.882352941176,1.28196327998076,-0.148353236406477,20717.9861591695,138,62,76,2055,20,414,53,120.882352941176,1.28196327998076,-0.148353236406477,20717.9861591695,104,28,76,1633440887.02698,0.0305380821228027,0.31439185142517
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,2687,54,448,87,149.277777777778,1.36555425111203,0.0818866388261865,20100.9783950617,126,56,70,2075,20,414,53,115.277777777778,1.36555425111203,0.0818866388261865,20100.9783950617,92,22,70,1633440887.03471,0.0077259540557861,0.322117805480956
1,0,0,1,3,1,203,916759411,237,255,223,6,58155,443,2,0,0,0,4,3232270669,6,443,443,2924,54,448,87,153.894736842105,1.2753245850902,-0.041438489290793,19426.7257617729,187.5,58,129.5,2278,20,414,53,119.894736842105,1.2753245850902,-0.041438489290793,19426.7257617729,153.5,24,129.5,1633440887.03471,0,0.322117805480956
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,2978,54,448,87,148.9,1.34943735126359,0.162203595514267,18929.39,162.75,54,108.75,2298,20,414,53,114.9,1.34943735126359,0.162203595514267,18929.39,128.75,20,108.75,1633440887.06405,0.0293471813201904,0.351464986801146
1,0,0,1,1,3,120,3232270669,154,228,140,6,443,58155,2,0,0,0,4,3232270669,6,443,443,154,154,154,154,154,0,-3,0,154,154,0,120,120,120,120,120,0,-3,0,120,120,0,1633440887.06411,5.29289245605469E-05,0.351517915725707
1,0,0,1,1,3,1480,3232270669,1514,228,1500,6,443,58155,2,0,0,0,4,3232270669,6,443,443,1668,154,1514,834,834,0,-2,462400,1174,494,680,1600,120,1480,800,800,0,-2,462400,1140,460,680,1633440887.0645,0.0003988742828369,0.351916790008544
1,0,0,1,1,3,1480,3232270669,1514,228,1500,6,443,58155,2,0,0,0,4,3232270669,6,443,443,3182,154,1514,1514,1060.66666666667,-0.707106781186548,-1.5,411022.222222222,1514,834,680,3080,120,1480,1480,1026.66666666667,-0.707106781186548,-1.5,411022.222222222,1480,800,680,1633440887.06455,5.00679016113281E-05,0.351966857910155
1,0,0,1,1,3,1177,3232270669,1211,228,1197,6,443,58155,2,0,0,0,4,3232270669,6,443,443,4393,154,1514,1362.5,1098.25,-0.997079388008249,-0.811567253832912,312504.1875,1514,946.75,567.25,4257,120,1480,1328.5,1064.25,-0.997079388008249,-0.811567253832912,312504.1875,1480,912.75,567.25,1633440887.06485,0.0002961158752441,0.352262973785399
1,0,0,1,1,3,358,3232270669,392,228,378,6,443,58155,2,0,0,0,4,3232270669,6,443,443,4785,154,1514,1211,957,-0.35493951404647,-1.68653906141055,329809.6,1514,392,1122,4615,120,1480,1177,923,-0.35493951404647,-1.68653906141055,329809.6,1480,358,1122,1633440887.0649,4.69684600830078E-05,0.352309942245482
1,0,0,1,1,3,29,3232270669,63,228,49,6,443,58155,2,0,0,0,4,3232270669,6,443,443,4848,63,1514,801.5,808,0.0028032995082852,-1.83103397901018,385846.333333333,1438.25,213.5,1224.75,4644,29,1480,767.5,774,0.0028032995082852,-1.83103397901018,385846.333333333,1404.25,179.5,1224.75,1633440887.06493,3.19480895996094E-05,0.352341890335082
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,4902,54,1514,392,700.285714285714,0.27617053387928,-1.76784014176928,400339.632653061,1362.5,108.5,1254,4664,20,1480,358,666.285714285714,0.27617053387928,-1.76784014176928,400339.632653061,1328.5,74.5,1254,1633440887.07304,0.0081110000610351,0.360452890396117
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,4956,54,1514,273,619.5,0.49748876108969,-1.60260951568522,395981.5,1286.75,60.75,1226,4684,20,1480,239,585.5,0.49748876108969,-1.60260951568522,395981.5,1252.75,26.75,1226,1633440887.08117,0.0081279277801513,0.368580818176268
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,5010,54,1514,154,556.666666666667,0.684673920064613,-1.38295296986187,383567.777777778,1211,54,1157,4704,20,1480,120,522.666666666667,0.684673920064613,-1.38295296986187,383567.777777778,1177,20,1157,1633440887.08117,0,0.368580818176268
1,0,0,1,3,1,95,916759411,129,255,115,6,58155,443,2,0,0,0,4,3232270669,6,443,443,5139,54,1514,141.5,513.9,0.850739641556717,-1.12590867121167,361671.89,1006.25,56.25,950,4799,20,1480,107.5,479.9,0.850739641556717,-1.12590867121167,361671.89,972.25,22.25,950,1633440887.60942,0.528247117996216,0.896827936172484
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,5193,54,1514,129,472.090909090909,0.99566984560656,-0.854805654293005,346272.628099174,801.5,54,747.5,4819,20,1480,95,438.090909090909,0.99566984560656,-0.854805654293005,346272.628099174,767.5,20,747.5,1633440887.63863,0.0292160511016845,0.926043987274169
1,0,0,1,3,1,71,916759411,105,255,91,6,58155,443,2,0,0,0,4,3232270669,6,443,443,5298,54,1514,117,441.5,1.12982271562757,-0.566048300070765,327710.416666667,596.75,54,542.75,4890,20,1480,83,407.5,1.12982271562757,-0.566048300070765,327710.416666667,562.75,20,542.75,1633440887.65616,0.0175337791442871,0.943577766418456
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,5352,54,1514,105,411.692307692308,1.25082262950064,-0.272552013681355,313163.905325444,392,54,338,4910,20,1480,71,377.692307692308,1.25082262950064,-0.272552013681355,313163.905325444,358,20,338,1633440887.68532,0.0291581153869628,0.972735881805418
1,0,0,1,1,3,139,3232270669,173,228,159,6,443,58155,2,0,0,0,4,3232270669,6,443,443,5525,54,1514,117,394.642857142857,1.36133788785483,0.0301816322731007,294573.943877551,337.25,54,283.25,5049,20,1480,83,360.642857142857,1.36133788785483,0.0301816322731007,294573.943877551,303.25,20,283.25,1633440887.68538,5.50746917724609E-05,0.972790956497191
1,0,0,1,1,3,71,3232270669,105,228,91,6,443,58155,2,0,0,0,4,3232270669,6,443,443,5630,54,1514,105,375.333333333333,1.46848788432219,0.339045812831537,280155.688888889,282.5,54,228.5,5120,20,1480,71,341.333333333333,1.46848788432219,0.339045812831537,280155.688888889,248.5,20,228.5,1633440887.68541,3.29017639160156E-05,0.972823858261107
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,5684,54,1514,105,355.25,1.56711441901185,0.646148816100905,268696.0625,227.75,54,173.75,5140,20,1480,71,321.25,1.56711441901185,0.646148816100905,268696.0625,193.75,20,173.75,1633440887.69259,0.0071790218353271,0.980002880096434
1,0,0,1,3,1,211,916759411,245,255,231,6,58155,443,2,0,0,0,4,3232270669,6,443,443,5929,54,1514,105,348.764705882353,1.64694040179704,0.93748195235087,253563.356401384,245,54,191,5351,20,1480,71,314.764705882353,1.64694040179704,0.93748195235087,253563.356401384,211,20,191,1633440887.6931,0.0005130767822265,0.98051595687866
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,5983,54,1514,105,332.388888888889,1.73510457697213,1.245306018484,244035.348765432,227,54,173,5371,20,1480,71,298.388888888889,1.73510457697213,1.245306018484,244035.348765432,193,20,173,1633440887.77782,0.0847148895263671,1.06523084640503
1,0,0,1,3,1,1150,916759411,1184,255,1170,6,58155,443,2,0,0,0,4,3232270669,6,443,443,7167,54,1514,105,377.210526315789,1.40793625031342,0.204876645191371,267353.008310249,318.5,54,264.5,6521,20,1480,71,343.210526315789,1.40793625031342,0.204876645191371,267353.008310249,284.5,20,264.5,1633440887.78104,0.0032219886779785,1.06845283508301
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,7221,54,1514,105,361.05,1.48568439595294,0.436314502022527,258947.4475,281.75,54,227.75,6541,20,1480,71,327.05,1.48568439595294,0.436314502022527,258947.4475,247.75,20,227.75,1633440887.81056,0.0295190811157226,1.09797191619873
1,0,0,1,1,3,210,3232270669,244,228,230,6,443,58155,2,0,0,0,4,3232270669,6,443,443,244,244,244,244,244,0,-3,0,244,244,0,210,210,210,210,210,0,-3,0,210,210,0,1633440887.81217,0.0016088485717773,1.09958076477051
1,0,0,1,3,1,51,916759411,85,255,71,6,58155,443,2,0,0,0,4,3232270669,6,443,443,329,85,244,164.5,164.5,0,-2,6320.25,204.25,124.75,79.5,261,51,210,130.5,130.5,0,-2,6320.25,170.25,90.75,79.5,1633440887.81798,0.0058131217956542,1.10539388656616
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,383,54,244,85,127.666666666667,0.634244301756854,-1.5,6926.88888888889,164.5,69.5,95,281,20,210,51,93.6666666666667,0.634244301756854,-1.5,6926.88888888889,130.5,35.5,95,1633440887.81798,0,1.10539388656616
1,0,0,1,3,1,28,916759411,62,255,48,6,58156,443,2,0,0,0,4,3232270669,6,443,443,445,54,244,73.5,111.25,1.08247326882411,-0.72741032223897,6003.6875,124.75,60,64.75,309,20,210,39.5,77.25,1.08247326882411,-0.72741032223897,6003.6875,90.75,26,64.75,1633440887.82825,0.0102639198303222,1.11565780639648
1,0,0,1,1,3,51,3232270669,85,227,71,6,443,58155,2,0,0,0,4,3232270669,6,443,443,530,54,244,85,106,1.38434869126202,0.0996671789969054,4913.2,85,62,23,360,20,210,51,72,1.38434869126202,0.0996671789969054,4913.2,51,28,23,1633440887.84737,0.0191199779510498,1.13477778434753
1,0,0,1,1,3,20,3232270669,54,227,40,6,443,58155,2,0,0,0,4,3232270669,6,443,443,584,54,244,73.5,97.3333333333333,1.64208009879236,0.932157914817088,4469.88888888889,85,56,29,380,20,210,39.5,63.3333333333333,1.64208009879236,0.932157914817089,4469.88888888889,51,22,29,1633440887.84742,5.60283660888672E-05,1.13483381271362
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,638,54,244,62,91.1428571428571,1.87259674312432,1.78421310172052,4061.26530612245,85,54,31,400,20,210,28,57.1428571428571,1.87259674312432,1.78421310172052,4061.26530612245,51,20,31,1633440887.85587,0.0084521770477294,1.14328598976135
1,0,0,1,3,1,20,916759411,54,255,40,6,58155,443,2,0,0,0,4,3232270669,6,443,443,692,54,244,58,86.5,2.08171280517856,2.64889722569143,3704.5,85,54,31,420,20,210,24,52.5,2.08171280517856,2.64889722569143,3704.5,51,20,31,1633440887.85587,0,1.14328598976135
1,0,0,1,1,3,24,3232270669,58,227,44,6,443,58156,2,0,0,0,4,3232270669,6,443,443,750,54,244,58,83.3333333333333,2.28029600381345,3.54224284627757,3373.11111111111,85,54,31,444,20,210,24,49.3333333333333,2.28029600381345,3.54224284627756,3373.11111111111,51,20,31,1633440887.85851,0.0026319026947021,1.14591789245605
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,804,54,244,56,80.4,2.45785081772972,4.41992978719509,3113.24,79.25,54,25.25,464,20,210,22,46.4,2.45785081772972,4.4199297871951,3113.24,45.25,20,25.25,1633440887.87637,0.0178630352020263,1.16378092765808
1,0,0,1,3,1,203,916759411,237,255,223,6,58156,443,2,0,0,0,4,3232270669,6,443,443,1041,54,244,58,94.6363636363637,1.55673076316605,0.56494257587061,4856.95867768595,85,54,31,667,20,210,24,60.6363636363636,1.55673076316605,0.564942575870612,4856.95867768595,51,20,31,1633440887.87637,0,1.16378092765808
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,1095,54,244,56,91.25,1.6914360390094,1.01209279646122,4578.35416666667,85,54,31,687,20,210,22,57.25,1.6914360390094,1.01209279646122,4578.35416666667,51,20,31,1633440887.90582,0.0294549465179443,1.19323587417602
1,0,0,1,1,3,120,3232270669,154,228,140,6,443,58156,2,0,0,0,4,3232270669,6,443,443,1249,54,244,58,96.0769230769231,1.44594914532816,0.435545375560905,4505.76331360947,85,54,31,807,20,210,24,62.0769230769231,1.44594914532816,0.435545375560905,4505.76331360947,51,20,31,1633440887.90588,5.60283660888672E-05,1.19329190254211
1,0,0,1,1,3,1480,3232270669,1514,228,1500,6,443,58156,2,0,0,0,4,3232270669,6,443,443,2763,54,1514,60,197.357142857143,3.1605288938726,8.36165408912637,137533.801020408,136.75,54,82.75,2287,20,1480,26,163.357142857143,3.1605288938726,8.36165408912637,137533.801020408,102.75,20,82.75,1633440887.90627,0.0003910064697265,1.19368290901184
1,0,0,1,1,3,1480,3232270669,1514,228,1500,6,443,58156,2,0,0,0,4,3232270669,6,443,443,4277,54,1514,62,285.133333333333,2.08801910028316,2.47942334578225,236230.115555556,195.5,54,141.5,3767,20,1480,28,251.133333333333,2.08801910028316,2.47942334578225,236230.115555556,161.5,20,141.5,1633440887.90633,0.00006103515625,1.19374394416809
1,0,0,1,1,3,1177,3232270669,1211,228,1197,6,443,58156,2,0,0,0,4,3232270669,6,443,443,5488,54,1514,73.5,343,1.60289597788945,0.719723035441929,271694,238.75,54,184.75,4944,20,1480,39.5,309,1.60289597788945,0.719723035441929,271694,204.75,20,184.75,1633440887.90661,0.0002830028533935,1.19402694702148
1,0,0,1,1,3,358,3232270669,392,228,378,6,443,58156,2,0,0,0,4,3232270669,6,443,443,5880,54,1514,85,345.882352941176,1.63389773469963,0.910667392274994,255844.92733564,244,54,190,5302,20,1480,51,311.882352941176,1.63389773469963,0.910667392274994,255844.92733564,210,20,190,1633440887.90667,5.98430633544922E-05,1.19408679008484
1,0,0,1,1,3,29,3232270669,63,228,49,6,443,58156,2,0,0,0,4,3232270669,6,443,443,5943,54,1514,74,330.166666666667,1.72318241463794,1.21880574829013,245830.027777778,242.25,54,188.25,5331,20,1480,40,296.166666666667,1.72318241463794,1.21880574829013,245830.027777778,208.25,20,188.25,1633440887.90671,3.40938568115234E-05,1.19412088394165
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,5997,54,1514,63,315.631578947368,1.8079355769395,1.52740409450343,236694.443213296,240.5,54,186.5,5351,20,1480,29,281.631578947368,1.8079355769395,1.52740409450343,236694.443213296,206.5,20,186.5,1633440887.90977,0.003066062927246,1.19718694686889
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,6051,54,1514,62.5,302.55,1.88935614434789,1.83779544779823,228111.1475,238.75,54,184.75,5371,20,1480,28.5,268.55,1.88935614434789,1.83779544779823,228111.1475,204.75,20,184.75,1633440887.91074,0.0009670257568359,1.19815397262573
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,54,54,54,54,54,0,-3,0,54,54,0,20,20,20,20,20,0,-3,0,20,20,0,1633440887.91147,0.0007238388061523,1.19887781143188
1,0,0,1,3,1,95,916759411,129,255,115,6,58156,443,2,0,0,0,4,3232270669,6,443,443,183,54,129,91.5,91.5,0,-2,1406.25,110.25,72.75,37.5,115,20,95,57.5,57.5,0,-2,1406.25,76.25,38.75,37.5,1633440888.45572,0.544255971908569,1.74313378334045
1,0,0,1,3,1,95,916759411,129,255,115,6,58156,443,2,0,0,0,4,3232270669,6,443,443,312,54,129,129,104,-0.707106781186548,-1.5,1250,129,91.5,37.5,210,20,95,95,70,-0.707106781186548,-1.5,1250,95,57.5,37.5,1633440888.45705,0.0013329982757568,1.74446678161621
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,366,54,129,91.5,91.5,0,-2,1406.25,129,54,75,230,20,95,57.5,57.5,0,-2,1406.25,95,20,75,1633440888.48502,0.0279691219329834,1.77243590354919
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,420,54,129,54,84,0.408248290463863,-1.83333333333333,1350,129,54,75,250,20,95,20,50,0.408248290463863,-1.83333333333333,1350,95,20,75,1633440888.4862,0.001173973083496,1.77360987663269
1,0,0,1,3,1,71,916759411,105,255,91,6,58156,443,2,0,0,0,4,3232270669,6,443,443,525,54,129,79.5,87.5,0.144896324317222,-1.83877077640376,1186.25,123,54,69,321,20,95,45.5,53.5,0.144896324317222,-1.83877077640376,1186.25,89,20,69,1633440888.48809,0.0018889904022216,1.77549886703491
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,579,54,129,54,82.7142857142857,0.417831603582325,-1.69758656764616,1154.20408163265,117,54,63,341,20,95,20,48.7142857142857,0.417831603582325,-1.69758656764616,1154.20408163265,83,20,63,1633440888.51725,0.0291640758514404,1.80466294288635
1,0,0,1,1,3,139,3232270669,173,228,159,6,443,58156,2,0,0,0,4,3232270669,6,443,443,752,54,173,79.5,94,0.488620122917184,-1.19516485352189,1901.5,129,54,75,480,20,139,45.5,60,0.488620122917184,-1.19516485352189,1901.5,95,20,75,1633440888.51731,5.79357147216797E-05,1.80472087860107
1,0,0,1,1,3,71,3232270669,105,228,91,6,443,58156,2,0,0,0,4,3232270669,6,443,443,857,54,173,105,95.2222222222222,0.426018507946861,-1.05315793950668,1702.17283950617,129,54,75,551,20,139,71,61.2222222222222,0.426018507946861,-1.05315793950668,1702.17283950617,95,20,75,1633440888.51734,3.40938568115234E-05,1.80475497245788
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,911,54,173,79.5,91.1,0.590338513549799,-0.933470495933872,1684.89,123,54,69,571,20,139,45.5,57.1,0.590338513549799,-0.933470495933872,1684.89,89,20,69,1633440888.52037,0.0030229091644287,1.80777788162231
1,0,0,1,3,1,211,916759411,245,255,231,6,58156,443,2,0,0,0,4,3232270669,6,443,443,1156,54,245,105,105.090909090909,1.06405755628717,0.279267513903065,3489.17355371901,129,54,75,782,20,211,71,71.0909090909091,1.06405755628717,0.279267513903065,3489.17355371901,95,20,75,1633440888.52384,0.0034730434417724,1.81125092506409
1,0,0,1,3,1,1480,916759411,1514,255,1500,6,58156,443,2,0,0,0,4,3232270669,6,443,443,2670,54,1514,105,222.5,2.90698011843832,6.68693733418362,154832.25,140,54,86,2262,20,1480,71,188.5,2.90698011843832,6.68693733418362,154832.25,106,20,86,1633440888.53052,0.0066790580749511,1.81792998313904
1,0,0,1,1,3,20,3232270669,54,228,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,2724,54,1514,105,209.538461538462,3.05828020405316,7.61675840385979,144938.094674556,129,54,75,2282,20,1480,71,175.538461538462,3.05828020405316,7.61675840385979,144938.094674556,95,20,75,1633440888.56022,0.0297060012817382,1.84763598442077
1,0,0,1,3,1,55,916759411,89,255,75,6,58156,443,2,0,0,0,4,3232270669,6,443,443,2813,54,1514,97,200.928571428571,3.20760494283585,8.56902365141414,135549.066326531,129,54,75,2337,20,1480,63,166.928571428571,3.20760494283585,8.56902365141414,135549.066326531,95,20,75,1633440888.56997,0.0097508430480957,1.85738682746887
1,0,0,1,1,3,210,3232270669,244,228,230,6,443,58156,2,0,0,0,4,3232270669,6,443,443,3057,54,1514,105,203.8,3.29155759449274,9.26617600867328,126627.893333333,151,54,97,2547,20,1480,71,169.8,3.29155759449274,9.26617600867328,126627.893333333,117,20,97,1633440888.60079,0.0308120250701904,1.88819885253906
1,0,0,1,3,1,51,916759411,85,255,71,6,58156,443,2,0,0,0,4,3232270669,6,443,443,3142,54,1514,97,196.375,3.42619170336705,10.1959405151883,119540.609375,140,54,86,2598,20,1480,63,162.375,3.42619170336705,10.1959405151883,119540.609375,106,20,86,1633440888.60538,0.0045909881591796,1.89278984069824
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,3196,54,1514,89,188,3.54956570179996,11.0960320545034,113631.058823529,129,54,75,2618,20,1480,55,154,3.54956570179996,11.0960320545034,113631.058823529,95,20,75,1633440888.60538,0,1.89278984069824
1,0,0,1,1,3,51,3232270669,85,227,71,6,443,58156,2,0,0,0,4,3232270669,6,443,443,3281,54,1514,87,182.277777777778,3.67479746841342,12.0263858551597,107874.867283951,129,54,75,2669,20,1480,53,148.277777777778,3.67479746841342,12.0263858551597,107874.867283951,95,20,75,1633440888.63472,0.0293469429016113,1.92213678359985
1,0,0,1,1,3,20,3232270669,54,227,40,6,443,58156,2,0,0,0,4,3232270669,6,443,443,3335,54,1514,85,175.526315789474,3.79023502345134,12.9271374342605,103017.72299169,129,54,75,2689,20,1480,51,141.526315789474,3.79023502345134,12.9271374342605,103017.72299169,95,20,75,1633440888.63478,5.60283660888672E-05,1.92219281196594
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,3389,54,1514,85,169.45,3.90242876340859,13.8286041841188,98568.3475,129,54,75,2709,20,1480,51,135.45,3.90242876340859,13.8286041841188,98568.3475,95,20,75,1633440888.6403,0.0055170059204101,1.92770981788635
1,0,0,1,3,1,20,916759411,54,255,40,6,58156,443,2,0,0,0,4,3232270669,6,443,443,54,54,54,54,54,0,-3,0,54,54,0,20,20,20,20,20,0,-3,0,20,20,0,1633440888.6403,0,1.92770981788635
